SUBEST_ID,Year,Density,SAVAreaHa,NDPD
PAX04,1985,4,0.00 ,
PIA01,1985,1,0.00 ,
PIA01,1985,2,0.00 ,
PIA01,1985,3,0.00 ,
PIA01,1985,4,0.00 ,
POC01,1985,1,0.00 ,
POC01,1985,2,0.00 ,
POC01,1985,3,0.00 ,
POC01,1985,4,0.00 ,
POC02,1985,1,0.00 ,
POC02,1985,2,0.00 ,
POC02,1985,3,0.00 ,
POC02,1985,4,0.00 ,
POC04,1985,1,0.00 ,
POC04,1985,2,43.81 ,
POC04,1985,3,49.30 ,
POC04,1985,4,4.14 ,
POT02,1985,1,3.06 ,
POT02,1985,2,13.16 ,
POT02,1985,3,5.03 ,
POT02,1985,4,0.22 ,
POT03,1985,1,0.00 ,
POT03,1985,2,0.00 ,
POT03,1985,3,0.00 ,
POT03,1985,4,0.00 ,
POT04,1985,1,0.00 ,
POT04,1985,2,0.00 ,
POT04,1985,3,0.00 ,
POT04,1985,4,0.00 ,
POT05,1985,1,0.00 ,
POT05,1985,2,0.00 ,
POT05,1985,3,0.00 ,
POT05,1985,4,0.00 ,
POT07,1985,1,0.00 ,
POT07,1985,2,0.00 ,
POT07,1985,3,0.00 ,
